aX,aY,aZ,gX,gY,gZ
-0.027,0.330,1.520,75.500,-51.270,21.912
-0.073,0.005,2.028,43.396,-63.049,6.531
-0.034,0.158,1.851,37.109,-21.362,6.897
-0.021,0.005,1.227,50.659,27.039,6.775
-0.051,-0.099,0.980,52.368,31.372,4.639
-0.045,-0.066,1.099,45.776,11.963,11.780
-0.064,-0.115,1.224,51.575,2.563,13.306
-0.090,-0.126,1.289,60.852,4.211,15.503
-0.151,-0.026,1.427,61.462,6.042,18.127
-0.156,-0.016,1.531,46.387,10.681,15.137
-0.115,-0.164,1.588,29.968,19.348,6.042
-0.116,-0.194,1.477,10.315,32.410,5.676
-0.159,-0.234,1.235,6.104,51.270,9.277
-0.182,-0.176,1.034,7.751,57.861,11.414
-0.131,-0.159,0.938,-9.766,51.147,10.193
-0.095,-0.135,0.820,-30.151,44.739,9.094
-0.085,0.009,0.807,-42.786,37.170,13.000
-0.052,0.149,0.883,-49.377,27.161,12.878
-0.039,0.318,0.935,-48.401,24.109,9.399
-0.025,0.395,0.836,-42.114,30.640,5.310
-0.007,0.325,0.609,-32.593,36.255,-2.563
0.027,0.337,0.462,-22.400,31.433,-5.432
0.040,0.511,0.480,-14.160,15.076,-2.869
0.061,0.640,0.505,-8.423,1.526,-5.188
0.088,0.667,0.545,-2.991,-8.606,-12.939
0.083,0.681,0.731,-4.089,-20.813,-18.738
0.078,0.730,0.936,-1.038,-28.381,-23.682
0.081,0.767,0.993,6.897,-25.269,-29.236
0.087,0.743,0.974,11.658,-18.860,-37.537
0.089,0.672,0.963,16.968,-15.259,-45.959
0.096,0.503,0.996,23.010,-16.296,-53.894

0.078,0.164,1.110,50.049,-21.729,-61.340
0.067,0.296,1.216,63.599,-21.179,-56.641
0.064,0.180,1.249,77.515,-17.090,-59.448
0.035,0.039,1.368,80.688,-15.686,-65.430
0.022,-0.052,1.458,71.716,-12.756,-66.650
-0.043,0.092,1.549,66.284,-3.845,-71.045
0.082,-0.458,1.447,66.345,3.479,-84.473
0.105,-0.531,1.530,68.481,6.897,-87.036
0.293,-0.263,1.561,48.401,16.602,-65.308
-0.041,-0.016,1.590,39.734,24.719,-69.275
0.029,-0.637,1.620,30.396,32.837,-95.215
0.081,-0.799,1.562,14.343,41.809,-94.116
0.120,-0.804,1.445,6.714,54.199,-78.674
0.114,-0.619,1.440,3.540,56.885,-61.707
0.279,-0.590,1.606,4.761,53.955,-58.594
0.229,-0.396,1.642,8.911,58.838,-55.847
0.130,-0.861,1.466,16.968,78.979,-68.909
0.173,-0.507,1.530,4.395,79.590,-44.312
0.141,-0.646,1.479,-2.258,86.914,-42.847
0.170,-0.682,1.377,-3.235,95.947,-43.823
0.185,-0.765,1.196,-10.925,100.647,-39.001
0.215,-1.004,1.078,-15.503,98.877,-39.612
0.250,-0.981,1.093,-13.794,92.224,-29.663
0.253,-0.888,1.193,-12.695,87.219,-19.287
0.251,-0.800,1.296,-16.663,86.182,-13.245
0.214,-0.701,1.357,-26.123,91.675,-9.033
0.291,-0.679,1.255,-29.053,103.882,-11.230
0.260,-1.003,1.089,-31.189,112.000,-13.855
0.253,-0.812,1.053,-25.085,114.319,-1.831
0.190,-0.755,1.112,-21.667,113.098,6.104
0.219,-0.808,1.021,-14.709,116.882,7.019
0.237,-0.758,0.945,-10.742,118.896,13.672
0.237,-0.788,0.870,-12.024,117.554,18.555
0.214,-0.683,0.855,-16.235,115.173,24.597
0.305,-0.702,0.789,-18.860,115.784,26.611
0.263,-0.845,0.670,-14.404,116.516,25.635
0.267,-0.647,0.637,-12.329,111.206,40.955
0.248,-0.608,0.635,-12.695,105.469,43.945
0.362,-0.475,0.736,-13.123,100.647,47.058
0.247,-0.538,0.677,-5.066,104.187,46.875
0.251,-0.686,0.391,0.244,115.173,44.556
0.323,-0.567,0.260,-2.136,105.530,56.030
0.326,-0.474,0.343,-7.080,90.088,59.509
0.322,-0.504,0.347,-8.850,84.351,62.195
0.306,-0.481,0.287,-5.859,81.360,65.430
0.500,-0.329,0.333,2.258,78.369,70.190
0.405,-0.193,0.275,5.676,75.806,74.341
0.256,-0.557,-0.026,9.277,81.665,63.110
0.327,-0.269,-0.028,-8.118,63.354,83.618
0.319,-0.320,0.063,-11.719,45.471,79.712
0.328,-0.253,0.107,-10.742,36.743,82.825
0.330,-0.187,0.093,-6.836,33.997,86.670
0.317,-0.202,0.040,4.272,33.325,87.280
0.320,-0.176,-0.020,12.878,30.090,89.172
0.435,-0.157,-0.073,18.127,24.780,91.370
0.052,-0.021,0.113,22.705,16.418,95.032
0.281,-0.319,-0.219,46.082,19.348,88.745
0.305,0.089,-0.262,28.198,7.202,98.511
0.286,0.020,-0.011,15.869,-18.372,98.145
0.310,0.145,0.288,-0.061,-36.438,98.511
0.317,0.119,0.339,3.723,-32.349,95.825
0.291,0.221,0.278,6.287,-25.513,94.788
0.308,0.194,0.222,10.010,-24.841,91.248
0.305,0.262,0.268,8.240,-30.273,89.722
0.299,0.278,0.325,7.812,-35.217,87.952
0.289,0.265,0.359,12.451,-37.781,84.412
0.388,0.261,0.379,20.020,-38.391,82.581
-0.113,0.344,0.616,27.954,-38.391,82.642
0.158,-0.054,0.155,56.885,-23.743,73.547
0.234,0.383,0.009,43.396,-29.724,80.322
0.194,0.267,0.166,38.696,-53.040,77.332
0.219,0.376,0.522,27.222,-75.928,76.904
0.596,0.453,0.779,34.790,-74.951,75.134
0.358,0.546,0.657,50.537,-57.739,75.073
0.185,0.313,0.037,69.641,-30.762,58.472
0.203,0.350,-0.087,50.110,-49.377,67.078
0.169,0.350,0.237,33.752,-81.482,59.875
0.159,0.461,0.579,22.827,-100.891,63.843
0.152,0.415,0.621,34.485,-95.703,58.472
0.096,0.516,0.558,43.274,-85.815,56.763
0.111,0.520,0.390,43.640,-82.336,53.833
0.132,0.588,0.429,35.767,-91.370,49.561
0.114,0.532,0.527,28.198,-101.135,43.030
0.102,0.517,0.593,22.705,-105.713,38.513
0.014,0.592,0.702,21.912,-107.483,35.706
0.048,0.447,0.672,24.048,-106.628,29.419
0.036,0.558,0.753,27.893,-108.582,26.245
0.001,0.542,0.885,24.170,-112.915,23.071
-0.029,0.488,0.984,28.809,-112.122,16.907
-0.057,0.467,0.989,38.330,-105.957,13.062
-0.086,0.456,0.928,49.011,-100.159,9.766
-0.093,0.424,0.895,56.213,-99.365,5.737
-0.106,0.335,0.930,55.664,-103.088,1.465
-0.126,0.346,1.020,53.894,-106.506,-0.122
-0.138,0.280,1.110,54.810,-106.262,-2.625
-0.143,0.315,1.150,58.960,-102.051,-4.456
-0.174,0.292,1.046,60.486,-94.727,-7.324
-0.209,0.319,1.031,52.307,-93.750,-11.230
-0.206,0.317,1.137,44.312,-99.426,-14.648
-0.198,0.277,1.194,39.001,-99.976,-19.104
-0.200,0.309,1.229,37.231,-96.619,-20.935
-0.217,0.339,1.295,35.156,-95.337,-23.254
-0.228,0.330,1.356,32.776,-94.421,-28.503
-0.238,0.353,1.425,31.372,-91.675,-32.532
-0.260,0.322,1.540,32.532,-88.318,-37.109
-0.261,0.278,1.563,37.048,-80.139,-41.687
-0.272,0.298,1.507,44.006,-67.749,-44.373
-0.280,0.277,1.476,47.363,-60.120,-48.218
-0.273,0.269,1.511,45.410,-58.411,-52.856
-0.283,0.209,1.534,41.748,-55.664,-57.312
-0.275,0.182,1.531,41.077,-50.964,-61.096
-0.270,0.181,1.571,37.659,-48.889,-63.904
-0.268,0.166,1.615,33.875,-45.715,-68.115
-0.274,0.173,1.589,29.663,-39.001,-72.327
-0.261,0.156,1.536,25.574,-32.288,-77.087
-0.236,0.077,1.563,20.020,-29.602,-82.886
-0.211,0.018,1.589,17.273,-26.489,-86.365
-0.203,-0.105,1.551,17.517,-19.043,-88.684
-0.205,-0.227,1.514,21.790,-12.756,-89.905

-0.180,-0.335,1.425,41.870,-3.601,-85.144
-0.154,-0.386,1.470,46.021,-2.930,-83.252
-0.136,-0.415,1.527,42.419,-2.991,-81.299
-0.123,-0.428,1.496,35.522,1.587,-79.651
-0.110,-0.381,1.453,26.123,6.470,-78.064
-0.097,-0.385,1.475,8.789,6.836,-79.468
-0.092,-0.334,1.453,-6.226,9.033,-81.970
-0.089,-0.322,1.427,-19.104,12.695,-83.984
-0.067,-0.345,1.369,-30.273,14.771,-86.426
-0.058,-0.406,1.281,-36.133,17.761,-87.769
-0.046,-0.433,1.240,-37.354,16.907,-86.487
-0.039,-0.416,1.260,-36.072,14.160,-82.825
-0.033,-0.356,1.332,-33.203,12.207,-78.735
-0.026,-0.315,1.371,-29.480,13.733,-75.867
-0.029,-0.282,1.361,-26.428,19.043,-74.463
-0.029,-0.290,1.316,-25.696,24.231,-74.280
-0.031,-0.292,1.269,-28.503,28.809,-74.768
-0.028,-0.285,1.208,-33.325,31.128,-74.524
-0.014,-0.355,1.110,-37.964,32.532,-76.233
-0.000,-0.399,1.090,-42.847,30.090,-75.989
0.016,-0.483,1.131,-44.067,26.245,-74.341
0.035,-0.519,1.161,-39.185,26.245,-71.045
0.056,-0.478,1.176,-31.433,29.419,-64.575
0.064,-0.440,1.147,-22.461,34.241,-60.120
0.075,-0.390,1.063,-20.874,38.147,-57.800
0.087,-0.455,1.034,-24.109,37.903,-57.800
0.100,-0.474,1.133,-30.029,32.593,-57.007
0.112,-0.474,1.160,-32.715,32.410,-54.199
0.116,-0.454,1.131,-35.339,36.133,-51.331
0.121,-0.467,1.153,-43.457,35.461,-50.049
0.131,-0.519,1.228,-50.232,33.264,-48.706
0.139,-0.578,1.295,-50.964,34.729,-45.471
0.153,-0.565,1.324,-46.265,39.246,-39.368
0.142,-0.518,1.286,-41.687,45.532,-33.081
0.138,-0.425,1.196,-40.955,50.537,-28.015
0.140,-0.455,1.167,-46.692,50.171,-26.917
0.135,-0.442,1.235,-56.702,46.631,-25.940
0.133,-0.438,1.289,-63.354,46.387,-23.560
0.122,-0.478,1.273,-65.186,50.476,-21.912
0.128,-0.534,1.219,-63.049,56.335,-19.287
0.139,-0.576,1.174,-56.824,60.364,-15.076
0.157,-0.612,1.098,-49.927,64.453,-9.155
0.167,-0.548,1.065,-45.410,66.345,-2.319
0.168,-0.441,1.053,-45.654,66.406,3.906
0.157,-0.365,1.027,-50.415,67.017,7.202
0.159,-0.311,1.046,-55.603,66.406,9.216
0.161,-0.331,1.090,-58.472,65.552,9.766
0.167,-0.335,1.065,-57.800,69.275,11.780
0.168,-0.293,0.988,-55.725,74.097,14.709
0.180,-0.323,0.880,-54.749,77.026,16.785
0.175,-0.305,0.820,-55.420,76.294,19.958
0.181,-0.217,0.795,-55.359,74.036,25.085
0.196,-0.212,0.783,-55.969,71.960,26.978
0.212,-0.187,0.747,-56.091,71.655,28.687
0.223,-0.169,0.695,-55.420,72.083,31.311
0.232,-0.174,0.644,-54.810,71.716,33.020
0.239,-0.176,0.615,-53.955,70.068,35.583
0.223,-0.163,0.554,-51.331,69.580,38.635
0.203,-0.089,0.505,-48.523,68.298,43.213
0.202,-0.018,0.513,-46.997,63.660,46.021
0.211,0.047,0.524,-46.570,59.631,46.814
0.211,0.036,0.506,-45.044,58.472,46.021
0.214,0.047,0.515,-42.664,56.641,46.204
0.216,0.062,0.500,-39.063,55.969,47.546
0.225,0.038,0.414,-34.302,57.434,48.584
0.235,0.040,0.368,-31.006,55.725,50.415
0.247,0.014,0.359,-28.442,52.917,52.795
0.247,-0.051,0.266,-22.583,51.636,54.504
0.248,-0.004,0.201,-17.822,47.607,60.425
0.251,0.043,0.182,-10.986,41.687,64.697
0.252,0.120,0.249,-6.226,33.508,68.176
0.261,0.203,0.325,-4.883,27.466,70.068
0.321,0.197,0.342,-4.700,25.574,68.909
0.267,0.181,0.275,-6.409,26.489,68.970
0.257,0.273,0.228,-6.653,25.635,69.519
0.244,0.292,0.295,-9.216,18.372,70.068
0.226,0.325,0.363,-7.324,14.221,70.007
0.210,0.332,0.325,-2.502,15.686,69.458
0.191,0.337,0.273,2.625,16.235,69.336
0.237,0.365,0.232,5.554,13.306,69.824
0.173,0.368,0.237,4.211,8.118,71.289
0.173,0.355,0.173,4.944,4.150,70.435
0.169,0.337,0.197,4.761,-4.028,71.899
0.164,0.419,0.272,6.653,-11.169,73.914
0.160,0.448,0.333,10.193,-15.381,75.012
0.143,0.479,0.312,15.198,-15.503,74.280
0.129,0.530,0.251,18.738,-15.320,74.341
0.100,0.546,0.215,17.639,-18.860,72.327
0.078,0.620,0.263,13.184,-26.855,71.655
0.135,0.609,0.371,9.827,-34.546,68.665
0.032,0.599,0.471,8.850,-38.452,67.017
0.002,0.664,0.467,15.808,-36.133,65.552
-0.016,0.654,0.481,19.836,-38.208,64.331
-0.031,0.678,0.487,22.522,-40.466,62.134
-0.051,0.707,0.505,25.818,-42.847,60.608
-0.051,0.713,0.553,30.762,-45.837,58.105
-0.056,0.752,0.564,36.255,-46.692,55.542
-0.074,0.834,0.579,38.269,-47.668,53.711
-0.087,0.818,0.654,37.720,-51.819,48.340
-0.096,0.761,0.710,38.269,-54.443,42.725
-0.119,0.782,0.722,41.687,-53.589,40.039
-0.134,0.830,0.739,44.373,-53.711,37.231
-0.133,0.773,0.765,46.814,-55.115,31.433
-0.119,0.718,0.776,52.368,-55.603,26.855
-0.109,0.666,0.737,61.279,-54.077,23.987
-0.119,0.665,0.707,67.261,-54.138,22.949
-0.129,0.633,0.753,68.909,-58.655,20.874
-0.135,0.569,0.833,69.336,-62.683,18.066
-0.158,0.601,0.837,70.435,-61.523,17.212
-0.191,0.655,0.840,71.838,-60.486,16.113
-0.204,0.725,0.968,69.031,-64.941,12.634
-0.199,0.668,1.108,68.054,-67.627,6.470
-0.219,0.635,1.124,71.777,-62.561,1.465
-0.241,0.620,1.054,76.599,-54.688,-1.038
-0.237,0.584,1.083,79.163,-53.650,-5.066
-0.241,0.528,1.107,80.505,-52.979,-9.338
-0.251,0.506,1.076,80.811,-48.950,-12.085
-0.226,0.469,1.059,78.796,-47.852,-14.893
-0.212,0.549,1.122,75.684,-49.438,-17.151

-0.220,0.567,1.197,65.613,-48.889,-24.963
-0.226,0.543,1.206,55.786,-47.913,-29.602
-0.234,0.605,1.267,45.898,-48.706,-33.997
-0.244,0.578,1.318,42.358,-47.852,-38.574
-0.242,0.489,1.261,46.753,-42.603,-44.739
-0.230,0.497,1.247,54.810,-39.917,-46.692
-0.210,0.471,1.273,60.669,-41.199,-49.194
-0.207,0.398,1.280,62.988,-40.894,-52.673
-0.213,0.380,1.312,61.523,-41.138,-54.382
-0.234,0.339,1.358,57.007,-41.138,-56.458
-0.262,0.309,1.415,52.063,-40.588,-58.899
-0.284,0.290,1.441,49.377,-37.354,-60.852
-0.293,0.265,1.413,46.021,-32.043,-63.721
-0.284,0.228,1.359,41.199,-27.466,-66.589
-0.259,0.170,1.352,35.461,-25.330,-69.580
-0.232,0.135,1.376,30.823,-24.170,-71.228
-0.211,0.140,1.406,28.748,-21.423,-71.167
-0.205,0.154,1.410,29.236,-17.090,-71.289
-0.193,0.080,1.374,32.410,-11.780,-73.120
-0.190,0.063,1.421,36.621,-9.583,-73.242
-0.179,0.046,1.457,42.175,-6.958,-72.937
-0.166,0.008,1.414,44.861,-1.160,-74.463
-0.146,-0.055,1.404,43.030,2.319,-75.867
-0.132,-0.116,1.398,39.307,4.211,-76.965
-0.129,-0.186,1.380,34.912,7.019,-76.782
-0.134,-0.209,1.457,30.579,7.507,-74.829
-0.131,-0.246,1.549,28.320,9.033,-72.327
-0.129,-0.275,1.524,31.982,17.334,-70.313
-0.122,-0.217,1.450,35.095,26.123,-66.650
-0.103,-0.270,1.407,32.959,30.334,-66.467
-0.084,-0.279,1.401,27.161,32.104,-66.284
-0.055,-0.333,1.340,21.851,35.278,-65.308
-0.041,-0.393,1.303,18.372,37.781,-63.843
-0.018,-0.411,1.323,14.709,37.476,-60.120
-0.004,-0.384,1.325,11.963,39.185,-56.458
0.002,-0.378,1.306,7.751,41.931,-53.589
0.009,-0.369,1.270,2.441,44.250,-52.307
0.021,-0.397,1.218,-2.258,45.654,-50.842
0.032,-0.400,1.224,-5.859,44.922,-48.889
0.041,-0.422,1.247,-7.996,44.006,-46.265
0.045,-0.452,1.240,-7.812,46.448,-43.945
0.057,-0.439,1.259,-8.911,48.218,-39.978
0.066,-0.447,1.231,-9.827,51.208,-36.743
0.068,-0.396,1.179,-9.155,55.176,-32.471
0.078,-0.389,1.181,-9.399,55.237,-29.236
0.089,-0.440,1.163,-9.399,55.725,-27.405
0.086,-0.430,1.138,-10.681,57.800,-23.682
0.090,-0.393,1.148,-13.184,57.983,-20.630
0.105,-0.400,1.132,-15.503,58.655,-19.165
0.094,-0.358,1.116,-20.508,59.448,-17.029
0.106,-0.318,1.145,-27.893,58.105,-14.893
0.126,-0.377,1.161,-29.724,58.655,-15.503
0.161,-0.428,1.095,-26.978,62.744,-13.550
0.163,-0.459,1.019,-22.522,67.139,-10.193
0.165,-0.423,0.992,-21.606,67.749,-5.188
0.178,-0.447,1.010,-23.193,64.819,-2.258
0.190,-0.440,0.996,-25.208,63.354,0.305
0.208,-0.421,0.960,-28.381,63.171,3.784
0.230,-0.415,0.966,-32.532,60.730,6.714
0.255,-0.443,0.994,-36.011,58.655,9.033
