aX,aY,aZ,gX,gY,gZ
-0.185,-0.394,1.436,-44.434,-30.396,-23.010
-0.203,-0.405,1.433,-44.312,-22.949,-21.912
-0.229,-0.349,1.437,-40.527,-16.357,-19.592
-0.250,-0.264,1.463,-41.138,-10.132,-17.151
-0.258,-0.173,1.441,-40.588,-3.479,-15.869
-0.270,-0.165,1.373,-34.363,2.625,-17.090
-0.278,-0.107,1.368,-24.719,9.705,-18.494
-0.263,-0.082,1.471,-16.296,13.794,-21.912
-0.304,0.124,1.296,-15.503,24.841,-20.813
-0.314,0.296,1.252,-7.751,33.386,-25.391
-0.319,0.286,1.351,-4.578,32.898,-41.321
-0.319,0.219,1.244,-17.456,39.429,-54.443
-0.308,0.195,1.067,-30.945,41.809,-63.660
-0.291,0.186,0.973,-42.297,36.682,-73.059
-0.232,0.116,0.953,-48.279,32.959,-83.252
-0.194,0.096,0.878,-38.696,33.752,-90.698
-0.208,0.155,0.898,-20.508,19.775,-95.459
-0.199,0.137,0.969,-14.282,12.573,-101.379
-0.216,0.110,0.971,-16.663,17.456,-105.164
-0.203,0.063,1.024,-10.620,18.066,-108.337
-0.196,0.093,1.033,-5.981,19.653,-112.610
-0.187,0.147,0.992,-9.583,21.179,-118.530
-0.123,-0.078,0.912,-23.315,17.822,-125.305
-0.149,0.048,0.780,-48.340,17.456,-127.747
-0.133,-0.020,0.825,-57.373,12.939,-132.690
-0.119,-0.069,0.852,-57.556,7.751,-137.207
-0.140,-0.114,0.790,-53.711,6.165,-138.611
-0.098,-0.200,0.831,-34.546,14.038,-140.076
-0.014,-0.233,0.877,-13.550,33.569,-139.709
-0.025,-0.248,0.880,-1.587,22.766,-133.911
-0.016,-0.224,0.877,-2.197,9.888,-131.714
-0.016,-0.260,0.896,-10.864,1.221,-133.240
-0.002,-0.320,0.897,-21.973,2.197,-135.681
0.023,-0.453,0.831,-22.827,3.174,-137.329
0.068,-0.570,0.832,-18.250,0.488,-136.047
0.091,-0.627,0.857,-14.587,-4.150,-132.507
0.095,-0.660,0.863,-15.625,-5.859,-128.967
0.105,-0.762,0.881,-16.541,-5.615,-125.610
0.111,-0.879,0.949,-11.780,-5.310,-120.728
0.130,-1.043,0.924,-1.099,-2.197,-112.488
0.134,-1.181,0.867,9.094,1.099,-98.328
0.132,-1.186,0.882,10.864,0.305,-80.444
0.120,-1.203,0.919,10.315,-1.648,-64.758
0.107,-1.255,0.992,11.047,-2.930,-50.842
0.105,-1.308,1.049,10.864,-2.258,-34.851
0.109,-1.308,1.040,7.019,1.282,-17.761
0.110,-1.286,0.992,-2.197,5.676,-2.136
0.113,-1.248,0.944,-15.381,9.399,11.169
0.103,-1.214,0.891,-30.151,13.062,23.987
0.100,-1.178,0.877,-38.025,14.526,35.950
0.087,-1.089,0.896,-39.185,14.099,48.950
0.053,-0.964,0.947,-38.513,13.611,62.134
0.036,-0.858,0.952,-37.720,13.794,74.890
0.032,-0.760,0.962,-32.654,12.817,83.923
0.028,-0.686,0.926,-25.452,9.399,91.980
0.011,-0.577,0.893,-24.597,2.441,100.220
-0.006,-0.514,0.901,-28.320,-5.188,105.347
-0.027,-0.546,0.910,-35.522,-8.240,107.544
-0.067,-0.557,0.938,-43.335,-8.728,111.389
-0.097,-0.442,0.967,-48.157,-1.221,116.821
-0.165,-0.368,0.987,-44.434,8.545,120.605
-0.150,-0.311,1.001,-36.499,12.939,120.972
-0.150,-0.285,0.982,-33.936,16.724,124.512
-0.163,-0.230,0.888,-34.058,18.982,126.343
-0.156,-0.222,0.830,-37.476,20.386,124.939
-0.161,-0.264,0.812,-44.250,18.616,124.634
-0.177,-0.282,0.839,-46.021,15.686,126.892
-0.220,-0.207,0.880,-41.626,14.160,132.324
-0.244,-0.086,0.928,-35.095,12.939,135.254
-0.272,0.072,0.969,-29.602,11.963,135.437
-0.279,0.128,0.980,-27.893,13.611,131.897
-0.273,0.097,0.988,-30.334,15.320,127.014
-0.273,0.029,0.982,-33.264,17.334,124.023
-0.295,0.004,0.961,-32.959,19.470,125.305
-0.326,0.081,0.976,-30.273,21.118,128.784
-0.343,0.141,0.974,-23.499,22.278,129.150
-0.336,0.185,0.944,-20.081,24.414,127.258
-0.340,0.255,0.930,-20.874,26.245,126.038
-0.340,0.366,0.882,-21.729,28.381,124.451
-0.349,0.498,0.903,-24.353,27.771,120.911

-0.354,0.481,0.853,-28.931,23.743,105.103
-0.339,0.748,0.797,-33.508,19.409,97.778
-0.345,0.661,0.826,-27.832,13.672,88.684
-0.322,0.704,0.800,-23.376,9.705,83.008
-0.333,0.860,0.806,-27.405,5.127,78.735
-0.330,0.930,0.874,-26.123,-0.122,72.021
-0.309,0.882,0.810,-19.104,0.122,63.721
-0.303,0.872,0.850,-11.230,-2.625,54.565
-0.305,0.882,0.859,-5.737,-3.235,46.997
-0.307,0.903,0.833,-1.038,-3.296,39.856
-0.313,0.920,0.828,3.723,-5.493,32.227
-0.321,0.932,0.821,6.775,-8.545,24.170
-0.348,0.955,0.871,6.165,-12.695,16.602
-0.352,0.943,0.870,3.662,-12.756,8.911
-0.337,0.941,0.826,4.211,-9.338,-0.305
-0.313,0.928,0.789,7.202,-7.629,-9.583
-0.318,0.895,0.885,8.484,-7.996,-18.677
-0.245,0.877,0.689,8.423,-0.732,-29.724
-0.271,0.843,0.844,7.690,-10.559,-38.330
-0.252,0.844,0.846,7.263,-9.094,-45.349
-0.250,0.780,0.851,10.681,-8.484,-52.002
-0.242,0.730,0.829,16.846,-11.169,-57.861
-0.236,0.682,0.763,19.470,-13.184,-62.256
-0.223,0.642,0.751,17.883,-18.005,-66.956
-0.237,0.630,0.806,10.864,-23.254,-72.449
-0.267,0.595,0.897,4.150,-26.611,-79.224
-0.277,0.524,0.926,3.662,-26.123,-85.388
-0.264,0.483,0.947,6.958,-24.841,-89.661
-0.252,0.458,0.948,9.155,-23.132,-92.957
-0.250,0.409,0.946,9.949,-21.484,-97.717
-0.248,0.355,0.936,8.362,-20.264,-101.318
-0.258,0.304,0.914,6.104,-18.494,-105.042
-0.259,0.250,0.927,5.981,-18.433,-108.521
-0.244,0.203,0.920,8.301,-19.348,-110.962
-0.245,0.168,0.968,13.000,-21.667,-112.488
-0.217,0.141,1.019,19.653,-18.921,-111.389
-0.206,0.127,1.000,27.039,-14.709,-108.154
-0.203,0.111,0.968,36.194,-13.794,-107.849
-0.190,0.102,0.899,43.945,-13.306,-107.117
-0.194,0.108,0.875,43.213,-14.038,-107.056
-0.212,0.090,0.905,37.720,-16.235,-108.704
-0.209,0.050,0.928,33.325,-17.029,-111.206
-0.217,0.005,0.986,28.992,-18.738,-113.159
-0.198,-0.058,1.008,24.658,-18.677,-113.220
-0.190,-0.109,1.065,21.606,-16.479,-111.694
-0.174,-0.161,1.051,25.513,-12.451,-109.131
-0.164,-0.182,1.001,33.447,-7.202,-104.858
-0.154,-0.193,0.940,40.527,-3.967,-100.952
-0.137,-0.195,0.917,44.434,-2.869,-98.511
-0.120,-0.227,0.945,44.312,-3.906,-96.497
-0.126,-0.297,1.030,43.335,-6.958,-95.093
-0.089,-0.348,1.010,43.823,-1.404,-93.323
-0.069,-0.402,1.010,44.373,6.836,-92.041
-0.039,-0.430,0.995,40.955,14.893,-91.309
-0.019,-0.479,0.974,36.743,17.334,-89.966
-0.006,-0.516,0.963,31.799,15.320,-88.074
0.015,-0.553,0.937,29.114,13.855,-86.060
0.067,-0.602,0.917,27.954,8.240,-84.106
0.047,-0.650,0.977,26.672,-3.296,-80.994
0.068,-0.677,1.000,24.536,-7.935,-78.552
0.079,-0.706,1.041,21.667,-8.240,-75.745
0.095,-0.734,1.039,19.531,-7.324,-71.472
0.106,-0.750,1.015,18.188,-6.958,-67.261
0.113,-0.755,1.023,16.357,-7.751,-63.416
0.126,-0.801,1.036,13.916,-8.362,-59.204
0.136,-0.824,1.044,11.841,-8.301,-54.138
0.144,-0.856,1.061,9.888,-7.812,-48.157
0.148,-0.897,1.104,7.629,-6.653,-41.382
0.143,-0.932,1.115,7.080,-3.540,-33.691
0.146,-0.946,1.071,9.949,0.916,-24.658
0.157,-0.937,1.027,13.733,3.906,-14.954
0.176,-0.913,0.974,13.855,5.005,-5.981
0.175,-0.875,0.898,8.789,4.028,0.793
0.170,-0.830,0.876,-0.732,1.648,6.775
0.166,-0.842,0.924,-10.132,-1.587,11.658
0.156,-0.837,0.941,-14.587,-3.479,16.968
0.159,-0.816,0.936,-15.625,-3.418,23.132
0.163,-0.796,0.943,-15.808,-3.235,29.602
0.137,-0.752,0.994,-17.212,-2.441,36.621
0.103,-0.669,1.019,-17.334,-0.305,44.373
0.089,-0.592,1.026,-15.259,1.404,50.842
0.083,-0.569,1.030,-12.573,1.770,54.626
0.083,-0.587,1.028,-9.277,2.686,57.678
0.083,-0.617,1.000,-5.798,3.601,61.523
0.075,-0.620,0.983,-2.808,4.028,65.857
0.067,-0.603,0.969,-2.808,3.723,71.350
0.056,-0.591,0.940,-5.554,0.671,76.904
0.025,-0.593,0.980,-9.644,-9.460,83.069
-0.015,-0.547,0.969,-16.174,-15.320,88.745
-0.046,-0.525,0.955,-19.714,-16.113,92.346
-0.056,-0.560,0.968,-20.203,-16.418,94.666
-0.094,-0.543,1.018,-23.376,-14.404,99.915
-0.133,-0.466,1.008,-25.940,-4.700,104.675
-0.130,-0.393,0.922,-25.024,9.155,104.675
-0.133,-0.384,0.920,-26.550,10.498,108.704
-0.152,-0.415,0.871,-28.137,7.263,110.657
-0.154,-0.384,0.868,-31.677,7.263,112.244
-0.190,-0.279,0.942,-37.170,4.517,114.014
-0.212,-0.206,1.010,-43.091,2.991,114.929
-0.240,-0.143,1.038,-46.387,6.165,115.723
-0.251,-0.092,1.033,-47.424,10.559,117.310
-0.251,-0.058,1.030,-45.227,13.000,117.737
-0.267,-0.009,1.015,-43.884,14.832,118.225
-0.276,0.038,0.995,-39.734,17.395,116.943
-0.276,0.073,0.993,-34.241,17.151,115.112
-0.264,0.090,0.986,-31.982,18.005,113.098
-0.270,0.143,1.014,-34.607,19.287,111.877
-0.268,0.194,1.005,-38.574,22.400,111.145
-0.266,0.252,0.994,-41.443,25.452,109.680
-0.291,0.316,0.975,-42.542,26.794,108.215
-0.293,0.341,0.982,-38.025,27.588,104.126
-0.266,0.389,0.931,-32.898,28.625,100.952
-0.300,0.461,0.992,-29.236,26.367,98.206
-0.266,0.545,0.946,-24.231,30.273,94.360
-0.253,0.569,0.889,-21.423,31.616,89.966
-0.250,0.618,0.871,-21.973,26.489,86.182
-0.199,0.659,0.758,-22.339,17.456,84.229
-0.324,0.725,0.861,-19.348,-2.319,79.651
-0.329,0.828,0.943,-13.428,-6.836,73.425

-0.239,0.907,0.754,-9.094,42.419,53.467
-0.120,0.997,0.673,-15.137,41.321,51.941
-0.211,0.959,0.702,-19.470,10.620,42.847
-0.224,0.971,0.926,-21.912,4.517,22.827
-0.140,0.980,0.658,-24.231,25.513,16.174
-0.214,0.951,0.807,-24.902,15.564,9.705
-0.200,0.918,0.779,-21.057,12.817,3.784
-0.151,0.876,0.677,-11.047,9.094,0.366
-0.220,0.895,0.720,-4.089,-2.991,-4.272
-0.196,0.894,0.717,1.770,-6.348,-10.498
-0.211,0.882,0.712,1.831,-5.005,-15.686
-0.187,0.869,0.700,-0.854,-4.944,-21.606
-0.173,0.819,0.772,0.305,-9.521,-29.541
-0.174,0.780,0.800,3.296,-14.709,-36.133
-0.161,0.743,0.827,7.507,-19.531,-41.260
-0.139,0.717,0.803,12.207,-20.874,-46.143
-0.122,0.698,0.789,16.296,-22.095,-51.147
-0.106,0.657,0.817,18.433,-23.010,-56.519
-0.109,0.634,0.801,17.456,-20.752,-61.401
-0.110,0.608,0.834,15.137,-20.386,-66.284
-0.131,0.566,0.876,14.526,-21.484,-71.960
-0.138,0.522,0.912,14.587,-21.729,-76.416
-0.148,0.474,0.926,14.893,-20.630,-80.078
-0.163,0.417,0.971,16.602,-20.813,-83.801
-0.150,0.393,0.990,17.944,-19.836,-86.731
-0.145,0.372,1.025,17.395,-18.066,-89.417
-0.139,0.347,1.013,16.541,-15.808,-92.163
-0.139,0.318,0.974,15.991,-13.367,-95.154
-0.150,0.261,0.956,14.709,-13.000,-98.145
-0.154,0.238,0.953,13.123,-14.099,-99.976
-0.162,0.221,0.967,10.742,-14.771,-101.074
-0.174,0.201,0.990,9.644,-15.442,-101.990
-0.162,0.180,0.999,11.292,-15.381,-102.051
-0.142,0.178,0.972,15.076,-14.038,-101.563
-0.135,0.170,0.915,22.888,-13.489,-101.501
-0.125,0.137,0.879,31.372,-14.099,-102.051
-0.126,0.113,0.849,36.194,-15.259,-102.051
-0.134,0.077,0.848,37.109,-17.334,-101.746
-0.157,0.036,0.950,34.302,-20.264,-102.356
-0.154,0.037,0.999,30.945,-20.020,-102.417
-0.167,0.040,1.033,31.372,-19.104,-102.905
-0.167,-0.001,0.982,34.546,-17.029,-103.821
-0.157,-0.082,0.924,35.889,-14.709,-103.699
-0.145,-0.158,0.923,34.973,-14.282,-102.417
-0.144,-0.195,0.957,33.875,-14.465,-100.647
-0.160,-0.177,1.002,34.180,-14.282,-98.450
-0.131,-0.177,1.000,33.569,-12.085,-97.107
-0.136,-0.225,1.014,32.410,-12.451,-96.497
-0.112,-0.270,1.001,33.569,-10.010,-95.459
-0.102,-0.326,0.964,36.987,-7.202,-93.079
-0.097,-0.387,0.972,38.818,-6.531,-90.820
-0.066,-0.454,0.972,39.612,-6.042,-88.318
-0.071,-0.494,0.963,37.659,-5.737,-85.144
-0.090,-0.498,1.088,32.715,-5.310,-81.787
-0.068,-0.519,1.067,30.334,5.798,-78.186
-0.032,-0.526,1.077,29.663,16.907,-75.012
0.007,-0.552,1.040,29.358,23.987,-72.998
0.037,-0.574,0.988,26.184,24.658,-70.496
0.060,-0.604,0.971,21.851,19.653,-68.604
0.066,-0.638,0.956,18.005,12.512,-66.650
0.104,-0.664,0.928,15.381,6.592,-63.416
0.085,-0.680,0.999,16.541,-1.160,-59.570
0.112,-0.674,0.968,19.836,-2.014,-56.274
0.116,-0.693,0.945,22.278,-1.770,-52.734
0.136,-0.737,0.933,20.386,-1.892,-49.622
