aX,aY,aZ,gX,gY,gZ
-0.296,-0.073,1.495,-51.880,-10.132,-3.784
-0.319,-0.119,1.352,-47.607,-0.183,-4.822
-0.288,-0.172,1.202,-23.071,0.305,-2.869
-0.260,-0.163,1.208,-1.038,-6.531,0.610
-0.227,-0.110,1.244,14.404,-14.954,3.845
-0.189,-0.066,1.203,27.710,-17.212,5.371
-0.188,-0.060,1.186,29.175,-19.958,6.226
-0.161,-0.129,1.138,21.667,-21.240,5.127
-0.192,-0.040,1.130,10.498,-23.315,5.798
-0.188,-0.016,1.284,-2.258,-26.611,2.625
-0.231,-0.118,1.293,-17.212,-26.001,-1.709
-0.250,-0.142,1.391,-30.396,-21.790,-2.197
-0.287,-0.172,1.492,-30.273,-22.827,-2.869
-0.301,-0.108,1.567,-29.724,-19.592,-0.427
-0.296,-0.022,1.614,-39.612,-15.015,0.000
-0.328,0.000,1.591,-45.288,-9.399,-0.061
-0.317,-0.042,1.583,-43.884,-6.470,-1.587
-0.351,-0.047,1.638,-36.438,-6.042,-1.343
-0.349,-0.030,1.686,-24.536,-1.709,0.122
-0.363,-0.029,1.700,-6.836,-0.427,-0.061
-0.359,-0.034,1.722,5.127,2.319,0.793
-0.360,0.000,1.659,8.301,12.451,1.221
-0.358,-0.000,1.580,12.695,22.827,-0.977
-0.341,-0.015,1.567,12.573,30.396,-2.441
-0.336,0.001,1.518,5.188,40.588,-4.089
-0.326,0.003,1.420,0.732,50.964,-9.094
-0.306,-0.056,1.323,-1.160,58.350,-14.648
-0.296,-0.078,1.226,-5.798,64.270,-16.541
-0.286,-0.064,1.132,-10.315,67.139,-17.456
-0.264,-0.110,1.071,-8.667,67.322,-19.348
-0.254,-0.177,1.121,-5.005,65.247,-20.081
-0.255,-0.202,1.171,-3.540,66.895,-17.395
-0.253,-0.184,1.150,0.427,71.411,-13.916
-0.244,-0.158,1.049,4.517,75.867,-11.780
-0.223,-0.112,1.040,6.653,75.623,-11.902
-0.207,-0.092,1.053,5.798,76.355,-12.756
-0.206,-0.075,1.109,-1.770,81.360,-13.672
-0.212,-0.113,1.111,-7.385,88.013,-14.771
-0.208,-0.171,1.046,-6.531,94.727,-16.174
-0.194,-0.182,0.997,-3.601,98.267,-15.442
-0.179,-0.200,0.929,0.000,99.548,-13.916
-0.160,-0.198,0.871,4.578,98.083,-12.024
-0.141,-0.170,0.871,8.972,94.543,-10.071
-0.122,-0.157,0.854,12.085,92.224,-7.935
-0.109,-0.154,0.816,15.503,90.698,-6.775

-0.048,-0.158,0.753,22.583,85.327,-7.446
-0.012,-0.132,0.719,22.339,84.961,-6.958
0.004,-0.124,0.723,18.677,84.656,-6.958
0.022,-0.136,0.727,14.465,84.534,-6.470
0.045,-0.131,0.698,10.864,85.388,-4.944
0.062,-0.108,0.655,10.742,85.144,-3.357
0.083,-0.104,0.638,13.611,82.092,-2.197
0.097,-0.090,0.621,17.334,79.773,-1.831
0.115,-0.070,0.649,21.362,75.989,-1.587
0.120,-0.038,0.644,23.926,75.378,-0.916
0.109,-0.030,0.667,23.926,82.336,-0.854
0.160,-0.050,0.591,24.475,101.929,-2.747
0.192,-0.062,0.540,22.400,112.244,-4.272
0.205,-0.060,0.549,19.592,115.112,-4.700
0.230,-0.069,0.572,18.555,116.394,-4.578
0.228,-0.058,0.556,20.935,119.690,-3.906
0.248,-0.035,0.494,26.428,125.305,-3.906
0.261,0.007,0.408,29.419,129.517,-4.456
0.279,-0.007,0.273,33.508,129.578,-7.446
0.294,-0.064,0.186,37.659,119.080,-10.132
0.292,-0.091,0.196,38.269,101.318,-12.390
0.296,-0.106,0.125,40.833,88.196,-13.672
0.317,-0.121,0.029,43.640,75.623,-14.709
0.312,-0.121,-0.032,41.260,57.800,-13.977
0.294,-0.140,-0.113,34.180,40.771,-11.536
0.291,-0.159,-0.220,24.719,26.184,-7.751
0.278,-0.170,-0.256,15.503,6.897,-3.845
0.268,-0.153,-0.227,3.540,-9.521,-0.793
0.277,-0.114,-0.153,-8.667,-21.118,2.014
0.298,-0.101,-0.066,-17.944,-31.250,4.456
0.322,-0.080,-0.021,-21.118,-38.879,6.958
0.359,-0.051,0.023,-20.020,-46.082,8.362
0.381,0.000,0.108,-20.081,-52.612,9.705
0.384,0.056,0.155,-20.447,-57.373,10.315
0.382,0.096,0.171,-20.020,-60.791,9.155
0.367,0.071,0.219,-20.996,-66.101,6.714
0.336,0.035,0.256,-25.879,-68.848,5.859
0.293,0.018,0.333,-31.616,-74.646,5.493
0.269,-0.035,0.413,-29.236,-80.261,2.991
0.260,-0.063,0.469,-23.193,-85.022,1.404
0.249,-0.056,0.486,-17.883,-88.440,1.221
0.243,-0.013,0.520,-13.245,-91.370,0.366
0.234,0.016,0.549,-9.155,-93.262,-0.305
0.210,0.056,0.542,-5.798,-95.154,-2.380
0.207,0.034,0.567,-4.944,-99.060,-7.080
0.189,0.014,0.565,-5.066,-101.563,-10.803
0.167,-0.038,0.543,-3.235,-103.821,-13.367
0.142,-0.077,0.540,-4.333,-107.971,-15.320
0.122,-0.097,0.549,-7.385,-111.267,-14.709
0.081,-0.062,0.586,-9.277,-114.990,-13.367
0.053,-0.075,0.636,-7.935,-118.896,-13.367
0.026,-0.039,0.733,-7.202,-122.742,-13.977
0.004,-0.053,0.825,-8.423,-125.549,-15.625
-0.033,-0.119,0.906,-7.446,-127.197,-19.226
-0.035,-0.186,0.978,-2.197,-127.625,-21.240
-0.071,-0.173,0.959,2.869,-126.160,-19.409
-0.090,-0.189,0.940,5.249,-123.291,-18.433
-0.141,-0.189,0.959,3.174,-122.131,-17.883
-0.206,-0.158,1.026,-3.357,-122.559,-16.357
-0.254,-0.159,1.093,-8.667,-122.192,-15.076
-0.293,-0.152,1.213,-12.390,-122.498,-14.221
-0.316,-0.164,1.339,-13.550,-123.230,-13.489
-0.358,-0.204,1.437,-10.315,-124.390,-12.817
-0.377,-0.226,1.553,-6.531,-122.192,-11.108
-0.391,-0.234,1.646,-2.197,-111.328,-9.705
-0.428,-0.219,1.735,1.282,-103.821,-7.935
-0.435,-0.199,1.783,6.104,-95.276,-7.996
-0.438,-0.209,1.779,9.949,-85.510,-8.362
-0.431,-0.228,1.796,7.812,-74.707,-8.118
-0.428,-0.232,1.738,4.211,-61.890,-6.226
-0.425,-0.224,1.735,4.639,-53.589,-5.798
-0.409,-0.245,1.798,8.911,-49.561,-7.202
-0.406,-0.278,1.932,12.756,-45.044,-7.141
-0.398,-0.284,1.959,16.052,-36.072,-4.639
-0.382,-0.275,1.904,19.287,-25.757,-1.831
-0.375,-0.211,1.844,18.250,-18.250,0.244
-0.358,-0.200,1.787,17.273,-13.489,0.427
-0.343,-0.245,1.757,20.020,-10.010,-0.854
-0.337,-0.263,1.710,21.667,-5.737,-0.916
-0.329,-0.281,1.669,21.667,-2.319,-0.732
-0.310,-0.301,1.615,20.020,-1.038,0.061
-0.372,-0.429,1.674,13.306,-2.075,2.747
-0.406,-0.271,1.756,-1.709,3.174,12.085
-0.331,0.049,1.790,0.610,20.142,18.433
-0.287,-0.159,1.427,30.823,36.865,10.803
-0.273,-0.303,1.311,42.542,32.471,5.371
-0.251,-0.221,1.541,25.208,19.409,4.700
-0.264,-0.181,1.604,12.634,21.606,6.165
-0.248,-0.245,1.520,13.733,31.006,5.981
-0.236,-0.241,1.521,11.963,36.255,5.615
-0.233,-0.206,1.526,5.493,41.382,5.798
-0.191,-0.207,1.256,2.441,45.715,4.578
-0.212,-0.248,1.433,-6.226,36.072,1.648
-0.206,-0.241,1.371,-13.306,37.109,1.404
-0.220,-0.301,1.373,-15.808,37.598,1.892
-0.218,-0.295,1.412,-15.869,36.255,2.502
-0.216,-0.296,1.475,-13.977,36.621,3.418
-0.217,-0.303,1.459,-11.475,40.344,5.432
-0.229,-0.292,1.414,-8.728,44.006,6.958
-0.222,-0.246,1.346,-7.629,46.692,7.202
