x,y,z
2.81,-2.20,0.00
1.95,-3.66,0.79
1.65,-2.50,0.79
1.10,-2.93,0.43
1.83,-2.87,0.31
1.83,-3.36,-0.24
1.83,-2.69,-0.31
1.65,-1.22,-0.49
1.95,-0.37,-0.37
2.32,-0.12,-0.12
2.44,-0.37,-0.31
2.87,-0.55,-0.61
3.05,-0.92,-0.73
2.32,-0.49,-0.49
2.01,-0.37,-0.43
1.95,-0.43,-0.43
1.53,-0.55,-0.18
0.92,-0.61,-0.43
0.73,-1.71,-0.18
0.12,-2.44,0.24
0.06,-1.65,0.18
1.28,-1.77,0.37
2.08,-1.83,0.18
1.04,-1.83,-0.06
-0.06,-2.01,-0.18
-0.43,-2.20,-0.06
0.79,-2.38,-0.12
1.89,-0.73,-0.31
2.87,-0.24,-0.31
3.48,0.06,0.06
3.54,0.12,0.31
4.03,0.55,0.67
3.11,1.77,1.10
3.42,3.36,0.98
4.46,4.70,1.16
3.85,4.39,1.46
3.85,3.85,1.95
2.56,2.20,1.77
0.12,1.34,1.89
-1.04,1.10,2.44
-1.95,1.34,2.44
-3.78,1.53,2.20
-6.16,0.79,1.59
-8.00,-0.24,1.77
-11.23,-1.89,2.56
-12.57,-3.66,3.11
-9.22,-4.82,2.50
-6.04,-3.23,0.67
-2.44,-0.98,-0.49
0.31,-1.16,0.06
0.49,-3.66,1.10
-1.10,-5.62,1.28
-3.72,-7.39,1.40
-7.20,-10.13,2.44
-10.50,-10.07,2.50
-11.35,-11.84,2.20
-11.54,-12.57,2.14
-11.60,-10.50,1.34
-8.85,-10.50,1.46
-5.13,-9.28,1.46
-2.26,-8.18,1.95
-0.18,-8.73,2.50
1.22,-8.36,2.62
2.62,-6.77,2.38
3.36,-6.16,1.10
1.77,-6.90,0.43
0.24,-8.67,1.28
-0.98,-10.25,1.40
-3.11,-10.01,0.37
-3.17,-10.38,-1.04
-2.75,-10.31,-1.40
-2.69,-11.17,-1.34
-2.14,-13.06,-0.98
0.67,-14.34,-1.16
3.30,-14.28,-2.26
6.35,-13.73,-3.97
7.32,-13.85,-5.00
6.41,-15.56,-4.88
5.80,-16.72,-4.03
3.05,-16.60,-3.85
-0.37,-17.64,-4.21
-3.36,-17.88,-5.00
-5.25,-17.82,-5.43
-5.49,-17.70,-5.62
-3.23,-18.07,-5.00
-0.73,-17.88,-5.43
1.04,-16.36,-5.98
4.70,-15.08,-6.41
6.90,-15.44,-6.29
7.08,-15.75,-5.80
5.98,-16.11,-4.88
5.31,-15.87,-4.46
4.76,-14.95,-4.58
4.33,-14.22,-4.39
3.85,-13.37,-3.72
1.59,-12.63,-2.81
2.99,-11.78,-2.32
4.82,-10.19,-1.71
3.91,-8.73,-1.53
5.37,-8.85,-1.10
6.23,-8.73,-1.10
5.68,-8.97,-1.16
4.09,-9.52,-1.22
3.05,-10.19,-2.08
2.56,-11.60,-3.36
2.75,-12.76,-5.25
3.60,-12.76,-6.35
3.54,-13.00,-5.98
1.71,-12.08,-5.49
2.69,-11.41,-4.64
2.75,-11.05,-3.97
2.81,-9.77,-3.48
5.49,-8.67,-3.48
8.85,-8.24,-2.75
8.91,-7.63,-1.77
8.24,-6.90,-1.34
8.42,-5.98,-1.16
9.28,-4.70,-0.49
11.66,-3.54,0.12
13.24,-2.38,0.12
13.18,-0.92,-0.43
12.76,0.37,-1.04
12.76,1.53,-1.16
13.37,2.50,-1.16
14.59,2.50,-1.40
14.71,2.50,-1.10
13.06,2.50,0.06
12.70,2.99,1.10
12.51,2.99,1.40
12.45,2.99,1.65
11.29,4.33,1.53
9.09,5.37,1.34
6.35,5.92,0.98
3.78,5.62,0.92
3.11,5.37,0.55
5.37,5.55,-0.37
7.14,6.16,-0.73
7.75,6.77,-0.85
10.07,7.14,-1.22
12.51,6.90,-1.71
13.24,5.62,-1.59
12.08,4.27,-1.65
10.74,3.11,-1.77
9.46,1.40,-1.59
7.39,0.00,-1.65
6.90,-0.61,-2.38
8.67,-0.43,-2.81
8.48,-0.06,-2.81
7.75,0.79,-3.05
7.32,1.71,-3.11
6.90,2.01,-3.17
6.71,1.53,-3.23
5.25,1.16,-2.93
3.97,0.37,-2.56
4.09,-1.53,-3.30
4.70,-3.48,-4.15
5.68,-4.82,-4.70
7.08,-4.94,-4.58
9.03,-4.88,-4.15
10.07,-4.88,-3.91
10.56,-4.21,-4.46
10.68,-3.54,-4.46
10.86,-2.75,-4.88
12.02,-2.20,-5.62
12.15,-2.81,-6.10
11.78,-4.03,-6.71
10.74,-5.37,-6.71
9.70,-6.41,-6.65
7.75,-7.02,-5.80
4.70,-8.12,-4.94
2.38,-8.97,-3.91
1.59,-9.40,-3.17
2.08,-9.03,-3.48
5.19,-8.42,-4.03
9.34,-7.39,-4.94
13.00,-6.47,-5.68
16.36,-5.43,-5.98
18.80,-3.78,-6.04
19.41,-1.59,-5.80
19.10,-0.18,-4.88
17.58,0.92,-3.85
15.08,1.83,-2.81
12.02,2.01,-1.53
9.22,1.65,-0.79
7.63,1.59,-0.18
7.14,1.28,0.06
7.51,0.79,0.00
7.87,0.24,0.00
8.30,-0.31,-0.12
9.64,0.12,-0.18
12.08,1.34,-0.73
15.38,2.26,-0.67
14.77,2.08,-0.12
11.78,1.22,0.61
8.73,1.16,1.46
5.68,1.59,2.38
3.72,2.14,3.05
2.32,3.36,3.36
2.26,4.39,3.91
3.91,5.49,3.78
5.07,6.29,3.42
6.16,6.47,3.36
6.71,6.16,3.05
6.90,4.94,3.30
5.19,4.70,3.78
2.81,4.70,4.33
2.26,5.55,4.52
1.46,6.53,4.52
-1.04,7.26,4.33
-1.40,7.87,4.21
-1.77,8.36,4.09
-1.77,7.75,3.66
-0.61,6.71,3.05
2.50,6.77,1.40
7.32,8.06,-0.12
10.68,8.36,-0.55
14.10,8.79,-0.49
15.44,11.23,-0.79
15.75,13.55,-0.79
15.44,14.65,-0.12
10.62,14.59,0.85
2.75,12.27,2.44
-4.09,8.42,2.81
-8.48,6.10,2.14
-10.62,4.52,1.22
-13.24,3.97,0.61
-12.02,3.66,0.00
-8.97,4.15,-0.98
-6.59,5.55,-1.83
-4.58,7.20,-2.26
-2.50,7.93,-1.95
-2.20,7.93,-1.22
-3.36,8.00,-0.37
-6.10,7.87,1.04
-8.36,6.90,2.32
-10.25,4.39,3.23
-14.28,3.23,3.85
-14.22,3.42,4.64
-10.38,5.31,5.00
-8.06,8.30,5.00
-7.02,10.62,4.52
-5.13,12.02,3.66
-4.33,11.90,3.72
-5.43,10.50,4.15
-7.51,8.79,3.91
-9.77,7.87,4.39
-11.05,7.39,5.31
-13.43,6.71,6.04
-14.10,6.84,6.77
-13.98,7.87,6.65
-13.37,9.70,6.04
-12.51,10.68,5.13
-11.72,10.38,3.85
-9.22,9.70,2.56
-5.62,9.28,1.83
-5.13,8.67,2.26
-7.14,8.06,3.05
-10.31,8.30,3.91
-11.84,9.09,4.33
-11.90,10.56,4.33
-9.40,13.18,4.58
-6.84,15.20,4.82
-4.21,17.64,6.04
-2.08,18.62,7.26
-0.73,20.57,7.45
0.61,21.79,6.47
1.10,20.75,4.58
2.56,18.98,2.56
3.72,16.42,0.98
3.11,14.59,0.31
0.79,13.00,-0.18
-3.60,10.62,-0.12
-8.79,8.24,0.92
-11.54,7.02,1.89
-11.78,7.32,2.38
-9.34,8.12,2.93
-6.16,7.87,2.99
-4.58,6.96,2.20
-4.21,5.49,1.46
-4.15,4.03,0.55
-5.19,2.75,0.43
-8.48,2.32,0.24
-11.54,1.53,0.37
-15.08,0.31,1.22
-18.92,0.12,2.32
-20.75,0.85,2.99
-18.49,1.89,2.99
-15.81,2.26,2.44
-14.04,1.77,1.53
-12.27,0.37,0.67
-9.22,-0.55,0.31
-6.04,-0.73,0.24
-3.72,-0.79,0.31
-1.89,-1.10,0.43
-1.46,-0.98,0.92
-3.30,-0.73,2.20
-4.52,-0.37,3.30
-6.96,0.37,3.54
-8.30,1.22,3.85
-7.93,1.71,3.85
-7.02,2.99,3.97
-5.86,4.27,3.91
-5.19,5.86,3.66
-5.37,6.29,3.17
-6.59,4.88,2.99
-5.98,4.09,2.56
-3.30,4.09,2.14
-2.08,4.09,2.50
-2.20,3.78,3.05
-4.33,8.42,2.20
-4.88,-11.23,5.55
-10.68,-16.11,6.77
-14.95,-1.10,5.43
-12.33,-0.06,5.07
-11.66,-3.97,5.25
-10.80,-4.46,4.82
-7.39,-4.64,2.75
-4.21,-5.55,1.46
-2.87,-5.98,1.40
-3.05,-7.51,1.77
-4.88,-9.22,1.59
-7.51,-9.77,0.92
-9.09,-10.13,0.73
-11.41,-10.86,0.49
-12.88,-11.05,0.61
-12.33,-11.29,0.55
-12.02,-11.84,-0.12
-10.99,-12.51,-0.73
-9.70,-13.12,-1.22
-9.64,-14.10,-1.65
-8.91,-15.20,-2.01
-6.71,-15.75,-2.44
-5.74,-15.01,-2.50
-5.55,-14.47,-2.32
-5.25,-14.40,-1.71
-5.68,-13.12,-1.34
-6.29,-11.84,-0.92
-6.90,-10.74,-0.49
-6.41,-9.83,-0.37
-2.44,-8.54,-0.92
1.95,-7.32,-1.46
3.72,-7.26,-1.65
3.72,-6.90,-1.83
2.93,-6.41,-2.01
2.32,-6.71,-1.83
1.22,-6.96,-1.77
1.28,-6.23,-1.46
2.87,-5.74,-1.16
3.66,-5.19,-0.43
3.60,-4.64,0.37
2.93,-3.72,0.92
2.26,-3.48,1.04
4.09,-3.17,1.10
5.92,-2.38,0.67
6.16,-2.50,0.24
5.62,-3.11,-0.31
4.27,-3.36,-0.73
2.69,-3.85,-0.98
1.65,-4.15,-0.92
1.04,-2.87,-0.85
-0.18,-1.95,-0.67
-2.32,-2.75,0.00
-4.64,-3.85,-0.06
-5.07,-4.82,-0.55
-4.21,-6.47,-1.16
-3.91,-7.14,-1.34
-2.75,-7.75,-1.28
1.16,-8.61,-1.22
4.76,-9.09,-1.65
7.93,-10.38,-1.53
9.03,-12.27,-0.79
7.69,-12.88,-0.24
7.87,-12.33,-0.18
8.00,-11.29,0.12
6.59,-10.86,0.55
4.82,-10.25,0.98
3.78,-9.70,1.46
4.39,-8.24,1.16
4.70,-7.93,1.34
4.52,-8.18,1.40
5.55,-8.42,1.59
6.77,-8.42,1.59
7.45,-8.30,2.26
7.87,-7.75,2.38
8.97,-7.14,2.32
9.46,-6.96,1.95
9.52,-7.32,1.40
7.08,-7.93,0.12
4.27,-8.67,-0.79
2.14,-9.16,-1.10
1.16,-9.40,-0.98
1.16,-8.30,-0.98
1.83,-6.77,-0.79
1.71,-6.53,-0.12
0.12,-7.93,0.79
